NFCSID,A1,A2,A3,B2_1,B2_2,B2_3,B2_4,B2_5,B2_7,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B3,B4,B5,B6,B20,B21,B10,B11,B23,B24,B25,B26,C20_1,C20_2,C20_3,C20_4,C20_5,C21,C22_1,C22_2,C22_3,C22_4,C23_1,C23_2,C23_3,C23_4,C24,C25,C26,C7,D1_1,D1_2,D2,D3,D20,D21,D4,E1_1,E20,E5,E6,F1_1,F1_2,F1_3,F1_4,F1_5,F1_6,F1_7,F1_8,F1_9,F2_1,F2_2,F2_5,F2_6,F2_20,F2_21,F2_22,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F3_8,F4,F5,F20,G1,G2,G20,G4,G5,G6,G7,G21,G8,G22,G11,G12,G13,H2,H3,WGT1,S_Gender,S_Age,S_Ethnicity,S_Education,S_Income
2018010122,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,3,7,1,1,2,2,2,2,1,5,2,98,2,3,3,2,1,1,2,2,2,1,2,2,1,2,98, ,1,1,1,1,6,3,3,98,4,5,1,3,1,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,2,2,2,1,1,1,2,2, ,1, ,10,4,7,1,98,1,1,1,4,2,3,1,2,1,1,0.874876747,2,2,1,2,2
2018010127,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,98,9,2, , ,2,4,2,1,5,2,2,3,1,1,1,1,1,2,2,1,1,98,98,2,2,98, ,1,2,98,3,98,98,3,3,2,98,98,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2, ,2, ,99,4,99,99,99,98,1,1,98,98,3,98,98,2,1,0.910655279,1,3,1,1,1
2018010139,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,3,1,1,2,2,3,2,1,5,2,2,1,1,3,2,1, ,1,1,3,1,2,1,2,2,1,10,2,2,8,8,2,3,3,1,2,8,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2, ,2, ,8,6,6,1,2,2,1,2,98,98,3,3,4,2,1,0.910655279,1,3,1,1,3
2018010151,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,5,2, , ,2,3,2,1,2,2,1,1,2,2,3,3, ,2,2,2,1,2,1,2,2,3,8,2,2,6,4,3,2,3,2,6,7,2,1,2,2,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1, ,1,1,8,6,7,2,1,2,1,1,5,1,2,2,2,1,1,0.874876747,1,2,2,2,3
2018010153,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,3,7,1,1,2,1,3,1,1,3,2,1,1,3,3,1,1, ,2,2,3,3,2,2,2,2,1,6,1,1,8,8,4,3,3,3,1,8,98,3,1,1,1,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,1,2,1,1,1,1,2, ,1, ,10,5,7,1,1,1,98,1,1,98,98,2,3,1,1,2.714459446,1,1,1,1,1
2018010163,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,98, , ,2,3,1,1,5,2,2,2,2,2,1,1,1,1,1,2,1,2,1,2,98,98, ,2,2,7,5,3,2,3,3,1,6,1,2,3,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2, ,2, ,5,2,5,1,98,2,1,98,98,2,98,98,98,1,1,0.910655279,2,3,1,1,2
2018010164,1,1,1,2,1,1,2,1,2,2,1,2,2,2,2,2,7,98, , ,98,3,1,1,3,2,2,2,3,3,1,1,1,3,3,1,1,2,1,1,2,3,7,2,1,5,5,3,2,3,3,3,5,2,4,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2, ,1, ,8,5,6,2,2,98,1,2,1,2,1,2,4,1,1,0.874876747,1,2,1,2,2
2018010171,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,8,1,2, ,2,3,1,1,5,2,2,1,1,3,1,1, ,1,1,3,3,98,1,98,2,2,9,2,2,6,4,3,2,3,98,4,4,1,3,98,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2, ,1, ,5,3,3,1,2,98,1,2,1,1,3,3,4,1,1,0.874876747,1,2,1,2,3
2018010176,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,3,7,1,2, ,2,2,1,1,5,2,2,2,2,2,1,1,1,2,2,2,1,2,1,1,1,3,10,2,1,8,4,5,3,1,1,4,8,1,3,2,2,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2, ,2, ,8,7,7,1,1,2,1,2,1,3,1,3,3,1,1,0.609443224,1,3,1,2,1
2018010186,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2, , ,2,3,1,1,98,2,2,1,1,3,1,1, ,1,1,3,1,2,1,2,2,2,5,2,2,98,98,98,2,3,1,3,5,98,1,4,2,1,1,1,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,1,2,2, ,2, ,6,3,6,1,98,98,1,1,98,98,98,98,4,1,1,0.910655279,2,3,1,1,1
2018010190,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,4,8,2, , ,2,3,1,1,5,2,2,2,2,3,1,1,1,1,1,1,1,2,2,1,2,2,10,1,2,10,8,3,2,1,3,6,8,1,1,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2, ,2, ,9,6,6,1,2,2,2,2,1,2,1,3,4,1,1,0.609443224,2,3,1,2,2
2018010191,2,1,1,98,98,1,98,98,98,98,98,98,98,98,98,1,8,98, , ,98,3,98,2, , , ,2,1,1,1,1,1,1,1,1,1,98,1,98,98,98, ,2,2,3,98,6,2,3,98,4,3,98,3,2,1,1,1,98,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2, ,2, ,2,3,4,1,2,2,1,1,1,98,98,1,3,1,1,0.910655279,2,3,1,1,3
2018010196,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,6,2, , ,2,2,2,1,4,2,2,1,2,2,1,1, ,1,1,1,1,98,98,98,98,98, ,2,2,10,10,4,3,3,98,1,6,98,3,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2, ,2, ,10,5,6,1,2,98,1,2,1,2,2,3,3,2,1,1.493157591,2,2,1,1,2
2018010201,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,1,5,98, , ,2,3,2,1,98,2,2,2,3,2,1,1,1,3,2,1,1,2,1,2,1,5,7,1,2,9,9,3,2,3,3,3,7,1,3,1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2, ,2, ,8,5,4,1,2,3,1,1,5,98,3,1,2,1,1,0.609443224,2,3,1,2,2
2018010204,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,3,7,2, , ,2,3,1,1,4,2,98,1,1,3,1,1, ,1,1,3,1,2,2,1,2,2,5,2,2,7,98,4,2,1,1,5,6,1,1,2,2,2,1,1,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2, ,2, ,6,4,5,1,2,98,1,2,1,2,3,98,3,1,1,0.874876747,2,2,2,2,1
2018010205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2, , ,2,2,2,2, , , ,1,2,2,2,2, ,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,3,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , ,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1.493157591,1,2,1,1,2
2018010210,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,6,1,1,2,2,2,2,1,3,2,1,3,1,3,3,2,1,3,3,1,3,2,2,1,1,6,8,2,2,7,7,3,2,1,1,5,9,2,3,4,1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,98,1,2,2,2,2,1,98, , , ,9,7,7,3,2,3,2,1,2,2,3,3,3,1,1,2.714459446,2,1,1,1,1
2018010217,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,3,10,2, , ,2,3,2,1,5,2,2,1,1,3,1,1, ,1,1,3,1,2,1,2,2,3,8,2,2,10,10,3,2,1,3,1,10,98,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2, ,2, ,10,6,7,1,2,2,1,1,98,3,3,98,1,2,1,0.910655279,2,3,1,1,3
2018010221,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,3,98, , ,98,3,98,2, , , ,3,1,2,1,1,1,3,1,2,1,2,2,2,1,98, ,2,2,5,3,98,2,3,3,3,6,2,3,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2, , , ,4,4,5,2,2,2,1,1,5,98,3,98,98,1,1,0.609443224,2,3,1,2,2
2018010224,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,8,98, , ,2,3,1,2, , , ,1,1,3,1,1, ,1,1,3,1,2,1,2,1,3,6,2,2,8,6,3,2,3,1,2,5,98,3,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2, ,2, ,5,4,4,1,98,98,2,1,1,98,3,1,3,2,1,0.910655279,2,3,1,1,2
2018010235,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,5,98, , ,98,2,1,1,98,2,2,3,1,1,1,1,2,2,2,1,1,2,98,1,1,98, ,2,2,8,7,98,2,3,3,5,7,98,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2, ,2, ,7,5,6,1,2,98,1,1,1,98,98,98,98,1,1,0.910655279,2,3,1,1,2
2018010247,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,98, , ,2,4,2,2, , , ,1,1,1,1,1, ,1,1,1,1,2,2,2,2,1,10,2,2,5,5,98,2,3,3,4,8,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , ,7,5,4,1,98,98,2,1,4,98,98,2,3,2,1,0.910655279,2,3,1,1,3
2018010249,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,2,1,98, , ,2,3,1,1,4,2,2,1,1,3,1,2, ,1,1,2,2,2,1,1,1,3,2,2,2,7,7,4,3,1,1,4,5,1,3,2,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,2,2,2,1,1,1,1,1, ,2,2,7,4,5,1,98,2,1,1,4,98,1,1,3,2,1,1.493157591,2,2,1,1,2
2018010251,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,98, , ,2,4,2,1,4,2,2,1,1,2,1,1, ,1,1,1,1,2,2,2,2,1,4,2,2,5,98,98,2,3,3,5,5,98,3,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2, ,2, ,2,1,5,1,98,2,1,1,98,98,98,1,98,1,2,0.874876747,2,2,1,2,3
2018010258,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,8,2, , ,98,3,1,1,5,2,2,1,2,1,1,1, ,1,1,1,1,2,1,2,1,4,3,2,2,10,5,3,98,3,3,7,4,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2, ,2, ,1,3,4,1,2,2,1,98,5,3,3,3,1,2,2,0.910655279,2,3,1,1,2
2018010262,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,7,1,2, ,2,3,1,1,5,2,2,1,1,3,1,1, ,1,1,3,1,2,2,98,2,98, ,1,2,8,7,2,2,3,3,2,6,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2, ,2, ,7,5,5,1,2,2,1,2,1,1,3,2,4,1,2,0.910655279,1,3,1,1,1
2018010274,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,98, , ,98,3,2,1,4,2,2,3,2,1,1,1,2,1,1,1,1,98,98,98,1,3,8,2,2,8,7,98,2,3,3,3,7,2,3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2, ,2, ,7,4,3,1,98,1,1,1,98,1,1,98,2,1,1,1.566607663,2,1,1,2,2
2018010307,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,7,98, , ,2,3,2,1,4,2,2,2,2,2,1,1,1,1,2,3,1,1,2,1,2,2,9,2,2,8,7,3,2,3,3,2,7,98,3,3,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2, ,1, ,8,5,5,1,2,98,1,2,1,2,3,98,98,1,1,0.910655279,2,3,1,1,1
2018010311,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,7,1,2, ,2,3,1,1,4,2,2,1,1,3,2,1, ,1,1,3,1,2,1,2,2,2,10,2,2,7,5,98,3,3,2,1,6,1,3,3,2,2,1,1,1,2,2,2,2,1,1,2,1,2,2,1,2,2,1,2,1,1,2,2, , , ,9,6,7,1,98,1,1,1,1,98,98,98,98,1,1,0.609443224,2,3,1,2,1
2018010319,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,7,98, , ,1,4,2,2, , , ,3,3,2,1,1,1,3,3,1,1,2,2,2,2,1,10,2,1,10,10,6,3,3,3,4,10,1,2,98,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2, ,1, ,9,5,4,2,2,2,1,1,98,98,1,2,98,1,2,1.493157591,2,2,1,1,2
2018010331,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,98, , ,98,4,2,1,5,2,2,3,1,1,1,1,1,1,2,1,1,98,1,2,1,4,5,2,2,8,8,98,2,3,98,3,6,98,3,2,1,1,1,1,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,2, ,2, ,5,4,3,1,1,1,1,2,1,2,98,2,3,2,1,0.910655279,2,3,1,1,1
2018010341,2,1,1,1,1,1,2,1,2,2,98,1,98,2,2,4,10,98, , ,2,2,1,1,3,1,1,2,2,3,1,1,1,2,2,3,3,1,1,1,1,98, ,2,2,9,9,5,2,1,1,7,8,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,9,7,7,1,1,2,1,1,1,2,3,2,3,1,1,0.874876747,2,2,1,2,3
2018010342,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6,2, , ,2,4,1,1,5,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,1,4,8,1,2,5,6,2,2,3,98,2,5,1,1,3,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2, ,1, ,7,6,6,1,98,98,1,1,4,98,1,98,98,1,1,0.910655279,1,3,1,1,1
2018010359,1,1,1,98,2,98,2,1,2,1,2,2,2,2,2,1,5,98, , ,98,3,98,1,98,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,2,98, ,1,2,2,2,98,2,3,98,6,5,98,98,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2, ,2, ,1,1,4,2,98,98,98,98,98,98,98,3,98,1,1,0.910655279,2,3,1,1,1
2018010369,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,98,8,2, , ,98,3,98,2, , , ,3,2,98,98,98,1,2,1,1,1,2,2,2,1,98, ,2,2,4,5,98,3,3,98,4,3,98,99,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2, ,2, ,3,2,5,1,2,2,1,2,98,3,1,98,3,2,1,0.910655279,2,3,1,1,1
2018010376,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,5,98, , ,2,3,1,2, , , ,1,1,2,1,1, ,1,1,3,1,2,1,2,1,1,8,1,2,6,7,3,2,3,3,2,1,2,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2, ,2, ,4,1,4,1,2,2,98,2,98,98,98,1,98,2,1,0.609443224,2,3,1,2,2
2018010377,2,1,1,1,2,2,1,2,2,1,1,2,2,2,2,3,8,1,2, ,2,3,1,1,5,2,2,1,2,3,1,1, ,1,1,3,1,2,1,2,2,1,10,1,1,6,5,2,2,3,1,1,7,2,2,3,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2, ,1, ,9,7,7,1,2,2,2,2,1,2,3,98,98,1,1,0.609443224,2,3,1,2,2
2018010388,2,1,1,2,98,98,98,1,98,2,98,98,98,98,98,98,99,98, , ,2,4,98,1,98,2,2,2,3,2,1,1,1,2,1,1,1,2,98,98,1,98, ,1,98,7,1,98,2,3,98,1,1,2,2,2,2,1,2,1,98,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2, ,2, ,2,3,4,1,2,98,1,1,98,1,3,98,3,1,1,0.609443224,2,3,1,2,2
2018010396,1,1,1,1,2,1,2,2,2,1,2,1,2,2,2,3,7,1,2, ,2,2,1,1,5,2,2,2,2,3,1,1,1,2,2,2,2,2,1,1,2,4,8,1,2,9,5,3,3,3,1,5,10,1,1,3,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,2, ,1, ,9,5,6,1,2,2,1,98,1,3,3,2,4,1,1,0.609443224,1,3,1,2,3
2018010400,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,6,2, , ,2,1,2,1,3,2,2,2,1,2,2,3,2,2,2,2,2,2,1,2,1,2,8,2,2,8,8,4,2,3,3,7,8,2,3,2,2,2,2,2,1,1,1,2,1,1,2,1,2,2,2,2,98,2,2,2,2,2,2,2, , , ,8,7,7,1,2,2,1,1,2,2,2,2,2,1,1,1.493157591,1,2,1,1,2
2018010404,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,3,8,2, , ,1,2,1,1,3,1,1,3,3,3,3,2,1,3,3,2,3,2,1,2,1,5,9,1,2,8,8,5,2,1,1,7,6,1,3,3,2,1,1,1,1,2,2,1,2,1,1,1,2,1,2,2,1,2,2,1,2,2,1,1,1,2,98,8,6,6,4,2,1,1,1,1,1,1,2,1,1,1,1.566607663,1,1,1,2,2
2018010408,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,3,7,98, , ,2,2,98,1,5,2,2,3,2,2,1,1,2,1,1,1,1,1,1,98,2,4,6,2,1,7,7,3,2,1,1,3,7,2,3,3,2,1,2,1,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2, , , ,8,4,6,1,2,3,1,2,1,1,98,98,98,1,1,1.493157591,1,2,1,1,1
2018010418,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2, , ,2,3,2,2, , , ,1,1,1,1,1, ,1,1,1,1,2,1,2,1,3,1,2,2,99,4,3,2,3,2,7,4,98,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2, ,2, ,5,3,1,4,4,2,98,1,2,2,98,3,3,1,2,0.910655279,1,3,1,1,1
2018010422,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,7,2, , ,1,3,2,1,4,2,2,1,1,3,1,1, ,1,1,2,1,2,2,2,2,1,10,2,2,9,9,3,2,3,1,3,8,1,3,3,2,2,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2, ,2, ,8,5,6,1,2,3,1,2,1,98,98,98,3,1,1,0.910655279,2,3,1,1,2
2018010430,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,3,10,1,2, ,2,2,1,1,5,2,2,1,3,3,1,1, ,2,3,1,1,2,1,1,1,3,8,2,2,10,6,3,2,1,3,5,7,1,3,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2, ,1, ,10,6,7,1,2,2,1,2,1,2,3,3,4,1,1,0.609443224,1,3,1,2,3
2018010431,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,9,2, , ,2,3,3,1,5,2,2,98,98,1,1,1, ,2,1,1,1,2,2,2,2,1,9,1,2,8,8,3,2,3,98,2,9,98,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2, ,2, ,8,4,4,1,2,98,98,1,98,98,98,2,98,1,1,0.609443224,1,3,2,2,2
2018010434,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,8,2, , ,2,3,2,1,5,2,2,3,2,1,1,1,1,2,1,1,1,2,2,1,1,4,9,2,2,8,7,3,3,3,1,1,7,2,1,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2, ,2, ,6,4,6,2,98,2,2,2,1,2,98,98,1,1,2,0.609443224,2,3,1,2,3
2018010436,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,4,8,1,99, ,2,3,1,1,4,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,8,2,2,6,7,4,2,99,3,5,8,98,3,3,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2, ,1, ,8,5,5,4,99,2,1,1,1,2,2,2,3,1,1,0.609443224,2,3,1,2,2
